Date/Time UTC,Dalmore Prime,Dalmore Rapid No 2
2017-08-11 21:32:00,#n/a,0.017411052233158128
2017-08-11 21:33:00,#n/a,0.020409663170737318
2017-08-11 21:34:00,#n/a,0.02929198647358702
2017-08-11 21:35:00,0.1392395413680917,0.02248223249524185
2017-08-11 21:36:00,0.13690736141941248,0.04631677972703818
2017-08-11 21:37:00,0.15621083423562646,0.05381494030134824
2017-08-11 21:38:00,0.15825229923225417,0.05129976554978239
2017-08-11 21:39:00,0.14884605545032395,0.055202369490604586
2017-08-11 21:40:00,0.1444142675146069,0.051507730215388424
2017-08-11 21:41:00,0.14145543533595034,0.05260063353005623
2017-08-11 21:42:00,0.13515015104256856,0.05464380470811313
2017-08-11 21:43:00,0.1370688697261078,0.05626369701834809
2017-08-11 21:44:00,0.1522829522167985,0.06432314442574391
2017-08-11 21:45:00,0.1387743974448094,0.06338240373944476
2017-08-11 21:46:00,0.1289999147236142,0.06840839796161903
2017-08-11 21:47:00,0.12726208534357344,0.07403188228982166
2017-08-11 21:48:00,0.136894440754877,0.07402453275320975
2017-08-11 21:49:00,0.12545965264085476,0.07010695753410627
2017-08-11 21:50:00,0.130866950749011,0.08040393053218126
2017-08-11 21:51:00,0.12985267858296498,0.08762852502149777
2017-08-11 21:52:00,0.11931587665416818,0.08345480484122093
2017-08-11 21:53:00,0.11819823917183722,0.0834833863724894
2017-08-11 21:54:00,0.10160810590810308,0.07655277334764106
2017-08-11 21:55:00,0.10472198606118716,0.07891115798482337
2017-08-11 21:56:00,0.11605340885892453,0.07734652330170612
2017-08-11 21:57:00,0.1206919274272115,0.08196938183047564
2017-08-11 21:58:00,0.10669884773513673,0.08288154098550769
2017-08-11 21:59:00,0.09902397300097944,0.0833878423965373
2017-08-11 22:00:00,0.07154171953371921,0.08503413859756201
2017-08-11 22:01:00,0.08318323828031138,0.08678822800222442
2017-08-11 22:02:00,0.08811247180064971,0.08410074744787409
2017-08-11 22:03:00,0.10403719084079933,0.08784166158323702
2017-08-11 22:04:00,0.07791806748204681,0.0932285997145665
2017-08-11 22:05:00,0.07801497246606409,0.0998949016264531
2017-08-11 22:06:00,0.08951436390276436,0.10096793397176389
2017-08-11 22:07:00,0.09958602190827877,0.10420554095175374
2017-08-11 22:08:00,0.09716339730785033,0.10494403327870246
2017-08-11 22:09:00,0.09402367582569504,0.09658026061456729
2017-08-11 22:10:00,0.11295244937037607,0.10034839525590185
2017-08-11 22:11:00,0.09914025898180001,0.10387100093339234
2017-08-11 22:12:00,0.10038064277721935,0.10532620918251151
2017-08-11 22:13:00,0.10333947495587592,0.11201183765363613
2017-08-11 22:14:00,0.09640753843251668,0.11697522471208215
2017-08-11 22:15:00,0.0996183235696179,0.11684293305307052
2017-08-11 22:16:00,0.1024737904319895,0.11874237995961003
2017-08-11 22:17:00,0.10072950071968106,0.11088980839758154
2017-08-11 22:18:00,0.10553598792693103,0.09605844351513605
2017-08-11 22:19:00,0.08966295154492383,0.11690907888257701
2017-08-11 22:20:00,0.0765678580380746,0.12448645112925563
2017-08-11 22:21:00,0.08437193941758807,0.12900641614546252
2017-08-11 22:22:00,0.09212433813895933,0.1280877240689984
2017-08-11 22:23:00,0.0944242164262994,0.0
2017-08-11 22:24:00,0.09332595994077174,0.12638263157507912
2017-08-11 22:25:00,0.08946268124462171,0.13143176322732913
2017-08-11 22:26:00,0.08933347459926565,0.13558425141294808
2017-08-11 22:27:00,0.06987495380862441,0.14152267699521595
2017-08-11 22:28:00,0.0645257986908782,0.14458008422569038
2017-08-11 22:29:00,0.07179367249216376,0.1515841926166558
2017-08-11 22:30:00,0.0797463415138367,0.14983500290306775
2017-08-11 22:31:00,0.07797621047245727,0.15655982890278808
2017-08-11 22:32:00,0.06455164001994941,0.15689790758692637
2017-08-11 22:33:00,0.07243324538667673,0.16058737496601
2017-08-11 22:34:00,0.06539794354703252,0.15656717843939932
2017-08-11 22:35:00,0.07886773632541456,0.1699359855361117
2017-08-11 22:36:00,0.088577615723932,0.17046351894179718
2017-08-11 22:37:00,0.08610330846536111,0.16685652969580356
2017-08-11 22:38:00,0.07357672419807902,0.1646222705658418
2017-08-11 22:39:00,0.057626163828858074,0.16383205927755226
2017-08-11 22:40:00,0.06132147388604488,0.1571183936852782
2017-08-11 22:41:00,0.06508784759817775,0.15874264127646853
2017-08-11 22:42:00,0.0662054850805086,0.16426377650222546
2017-08-11 22:43:00,0.062122555087253374,0.17231723539830893
2017-08-11 22:44:00,0.07209730810875074,0.1583604653726588
2017-08-11 22:45:00,0.06882837998123939,0.1704069002893813
2017-08-11 22:46:00,0.061579887176757456,0.17514680699381965
2017-08-11 22:47:00,0.06561113451187026,0.18030618169524354
2017-08-11 22:48:00,0.06375055881874135,0.1900252633515904
2017-08-11 22:49:00,0.06943565121441335,0.1946377780880915
2017-08-11 22:50:00,0.06638637438400753,0.18792030162498308
2017-08-11 22:51:00,0.07293715130356583,0.16920375392553758
2017-08-11 22:52:00,0.07096028962961624,0.15626584743831853
2017-08-11 22:53:00,0.055726826142122134,0.15626584743831923
2017-08-11 22:54:00,0.062536016352393,0.159939526923939
2017-08-11 22:55:00,0.04419513304408263,0.1493866811697522
2017-08-11 22:56:00,0.057496957183501785,0.15355386842859564
2017-08-11 22:57:00,0.058194673068425205,0.1713835720435615
2017-08-11 22:58:00,0.049253573209777475,0.1303881290284653
2017-08-11 22:59:00,0.052716311305323144,0.17721202678171158
2017-08-11 23:00:00,0.05915726257632901,0.19320298521844903
2017-08-11 23:01:00,0.06545608653744275,0.19119819495380935
