Date/Time(UTC), Geomagnetic Activity
1547641079,30.249
1547641094,30.149
1547641109,30.149
1547641125,30.093
1547641140,30.101
1547641155,30.101
1547641170,30.203
1547641185,30.203
1547641200,30.193
1547641215,30.193
1547641230,30.193
1547641245,30.118
1547641260,30.118
1547641275,30.278
1547641290,30.278
1547641305,30.214
1547641321,29.936
1547641336,29.936
1547641351,29.950
1547641366,29.950
1547641381,29.667
1547641396,29.667
1547641411,29.726
1547641426,29.765
1547641441,29.765
1547641456,29.644
1547641471,29.458
1547641486,29.458
1547641502,29.381
1547641517,29.342
1547641532,29.342
1547641547,29.328
1547641562,29.310
1547641577,29.328
1547641592,29.394
1547641607,29.394
1547641622,29.436
1547641637,29.575
1547641652,29.597
1547641667,29.575
1547641682,29.554
1547641698,29.526
1547641713,29.554
1547641728,29.340
1547641743,29.374
1547641758,29.276
1547641773,29.192
1547641788,29.093
1547641803,29.136
1547641818,28.982
1547641833,28.982
1547641848,28.956
1547641863,28.956
1547641878,28.956
1547641894,29.082
1547641909,29.024
1547641924,29.044
1547641939,29.024
1547641954,28.865
1547641969,28.865
1547641984,28.888
1547641999,28.888
1547642014,28.839
1547642029,28.839
1547642044,28.839
1547642059,28.847
1547642075,28.789
1547642090,28.779
1547642105,28.779
1547642120,28.885
1547642135,28.885
1547642150,28.785
1547642165,28.694
1547642180,28.694
1547642195,28.700
1547642210,28.700
1547642225,28.606
1547642240,28.606
1547642255,28.667
1547642271,28.796
1547642286,28.796
1547642301,28.562
1547642316,28.524
1547642331,28.524
1547642346,28.640
1547642361,28.711
1547642376,28.711
1547642391,28.711
1547642406,28.769
1547642421,28.769
1547642436,28.479
1547642452,28.454
1547642467,28.454
1547642482,28.275
1547642497,28.275
1547642512,28.207
1547642527,28.114
1547642542,28.114
1547642557,28.068
1547642572,28.068
1547642587,28.068
1547642602,28.022
1547642617,28.022
1547642632,28.022
1547642648,27.950
1547642663,27.737
1547642678,27.737
1547642693,27.737
1547642708,27.712
1547642723,27.594
1547642738,27.472
1547642753,27.467
1547642768,27.426
1547642783,27.426
1547642798,27.383
1547642813,27.401
1547642829,27.401
1547642844,27.401
1547642859,27.531
1547642874,27.385
1547642889,27.385
1547642904,26.918
1547642919,26.918
1547642934,26.969
1547642949,26.969
1547642964,26.842
1547642979,26.651
1547642994,26.583
1547643009,26.393
1547643025,26.317
1547643040,26.307
1547643055,26.307
1547643070,26.181
1547643085,26.119
1547643100,26.054
1547643115,25.907
1547643130,25.864
1547643145,25.829
1547643160,25.793
1547643175,25.671
1547643190,25.747
1547643206,25.642
1547643221,25.599
1547643236,25.451
1547643251,25.451
1547643266,25.221
1547643281,25.221
1547643296,25.364
1547643311,25.458
1547643326,25.550
1547643341,25.550
1547643356,25.396
1547643371,25.250
1547643386,25.332
1547643402,25.332
1547643417,25.543
1547643432,25.543
1547643447,25.487
1547643462,25.483
1547643477,25.315
1547643492,25.315
1547643507,25.493
1547643522,25.493
1547643537,25.465
1547643552,25.219
1547643567,25.465
1547643583,25.394
1547643598,25.474
1547643613,25.419
1547643628,25.419
1547643643,25.278
1547643658,25.190
1547643673,25.163
1547643688,25.160
1547643703,25.099
1547643718,25.036
1547643733,24.974
1547643748,24.893
1547643763,24.893
1547643779,24.893
1547643794,24.846
1547643809,24.807
1547643824,24.706
1547643839,24.664
1547643854,24.554
1547643869,24.554
1547643884,24.501
1547643899,24.501
1547643914,24.433
1547643929,24.317
1547643944,24.219
1547643960,24.204
1547643975,24.219
1547643990,24.147
1547644005,24.276
1547644020,24.124
1547644035,24.357
1547644050,24.381
1547644065,24.490
1547644080,24.381
1547644095,24.071
1547644110,24.071
1547644125,24.071
1547644140,24.001
1547644156,23.979
1547644171,24.001
1547644186,24.187
1547644201,24.187
1547644216,24.104
1547644231,24.104
1547644246,24.147
1547644261,24.147
1547644276,24.108
1547644291,24.042
1547644306,24.042
1547644321,23.972
1547644337,23.926
1547644352,23.926
1547644367,23.932
1547644382,24.050
1547644397,24.050
1547644412,24.050
1547644427,24.042
1547644442,23.997
1547644457,23.694
1547644472,23.694
1547644487,23.874
1547644502,23.874
1547644517,23.926
1547644532,23.928
1547644548,23.928
1547644563,23.928
1547644578,23.949
1547644593,23.949
1547644608,23.774
1547644623,23.736
1547644638,23.596
1547644653,23.558
1547644668,23.464
1547644683,23.462
1547644698,23.451
1547644713,23.408
1547644729,23.408
1547644744,23.375
1547644759,23.160
1547644774,23.032
1547644789,22.632
1547644804,22.587
1547644819,22.560
1547644834,22.354
1547644849,22.211
1547644864,22.104
1547644879,22.104
1547644894,22.104
1547644909,21.847
1547644925,21.836
1547644940,21.800
1547644955,21.836
1547644970,21.736
1547644985,21.961
1547645000,21.750
1547645015,21.757
1547645030,21.757
1547645045,21.799
1547645060,21.861
1547645075,22.046
1547645090,22.046
1547645106,22.046
1547645121,21.864
1547645136,21.750
1547645151,21.750
1547645166,21.824
1547645181,21.824
1547645196,21.757
1547645211,21.715
1547645226,21.451
1547645241,21.451
1547645256,21.350
1547645271,21.319
1547645286,21.289
1547645302,21.135
1547645317,21.106
1547645332,21.086
1547645347,21.086
1547645362,20.925
1547645377,20.819
1547645392,20.703
1547645407,20.703
1547645422,20.825
1547645437,20.825
1547645452,20.797
1547645467,20.742
1547645483,20.742
1547645498,20.893
1547645513,20.893
1547645528,20.799
1547645543,20.696
1547645558,20.696
1547645573,20.557
1547645588,20.464
1547645603,20.312
1547645618,20.282
1547645633,20.172
1547645648,20.122
1547645663,20.044
1547645679,20.003
1547645694,19.936
1547645709,19.878
1547645724,19.818
1547645739,19.725
1547645754,19.586
1547645769,19.532
1547645784,19.276
1547645799,19.236
1547645814,19.185
1547645829,19.185
1547645844,19.146
1547645859,19.174
1547645875,19.146
1547645890,19.174
1547645905,19.146
1547645920,19.054
1547645935,18.940
1547645950,18.940
1547645965,19.017
1547645980,19.164
1547645995,19.164
1547646010,19.164
1547646025,18.868
1547646040,18.849
1547646056,18.868
1547646071,18.872
1547646086,18.872
1547646101,18.647
1547646116,18.553
1547646131,18.474
1547646146,18.553
1547646161,18.406
1547646176,18.310
1547646191,18.275
1547646206,18.251
1547646221,18.190
1547646236,18.075
1547646252,18.019
1547646267,18.019
1547646282,18.019
1547646297,17.918
1547646312,17.792
1547646327,17.772
1547646342,17.611
1547646357,17.611
1547646372,17.538
1547646387,17.389
1547646402,17.389
1547646417,17.340
1547646433,17.340
1547646448,17.204
1547646463,17.167
1547646478,17.143
1547646493,17.100
1547646508,16.971
1547646523,16.967
1547646538,16.837
1547646553,16.793
1547646568,16.742
1547646583,16.742
1547646598,16.742
1547646613,16.724
1547646629,16.703
1547646644,16.567
1547646659,16.407
1547646674,16.367
1547646689,16.271
1547646704,16.208
1547646719,16.196
1547646734,16.151
1547646749,15.969
1547646764,15.919
1547646779,15.862
1547646794,15.862
1547646810,15.862
1547646825,15.769
1547646840,15.769
1547646855,15.769
1547646870,15.697
1547646885,15.697
1547646900,15.793
1547646915,15.793
1547646930,15.893
1547646945,15.747
1547646960,15.747
1547646975,15.629
1547646991,15.612
1547647006,15.600
1547647021,15.418
1547647036,15.418
1547647051,15.407
1547647066,15.428
1547647081,15.310
1547647096,15.254
1547647111,15.019
1547647126,14.983
1547647141,14.983
