Date/time UTC, Differences
2017-10-24 00:43:52.71,-0.051185
2017-10-24 00:44:09.64,-0.049935
2017-10-24 00:44:26.57,-0.05014
2017-10-24 00:44:43.50,-0.0496925
2017-10-24 00:45:00.43,-0.0482925
2017-10-24 00:45:17.36,-0.0472825
2017-10-24 00:45:34.29,-0.047865
2017-10-24 00:45:51.21,-0.0471975
2017-10-24 00:46:08.13,-0.04514
2017-10-24 00:46:25.06,-0.04319
2017-10-24 00:46:41.98,-0.042345
2017-10-24 00:46:58.91,-0.0420375
2017-10-24 00:47:15.84,-0.04168
2017-10-24 00:47:32.77,-0.0410825
2017-10-24 00:47:49.70,-0.0400875
2017-10-24 00:48:06.63,-0.0384975
2017-10-24 00:48:23.56,-0.032515
2017-10-24 00:48:40.49,-0.02830
2017-10-24 00:48:57.42,-0.03759
2017-10-24 00:49:14.35,-0.04187
2017-10-24 00:49:31.28,-0.0440125
2017-10-24 00:49:48.21,-0.0461225
2017-10-24 00:50:05.14,-0.0466375
2017-10-24 00:50:22.07,-0.0465725
2017-10-24 00:50:39.01,-0.047805
2017-10-24 00:50:55.94,-0.0486675
2017-10-24 00:51:12.87,-0.04911
2017-10-24 00:51:29.80,-0.0500475
2017-10-24 00:51:46.74,-0.05148
2017-10-24 00:52:03.67,-0.0527725
2017-10-24 00:52:20.61,-0.05352
2017-10-24 00:52:37.54,-0.0539175
2017-10-24 00:52:54.48,-0.0537025
2017-10-24 00:53:11.41,-0.05317
2017-10-24 00:53:28.35,-0.05276
2017-10-24 00:53:45.28,-0.05271
2017-10-24 00:54:02.22,-0.0531425
2017-10-24 00:54:19.13,-0.0531425
2017-10-24 00:54:36.06,-0.0546575
2017-10-24 00:54:52.99,-0.05206
2017-10-24 00:55:09.91,-0.049775
2017-10-24 00:55:26.84,-0.0463825
2017-10-24 00:55:43.76,-0.043975
2017-10-24 00:56:00.68,-0.041535
2017-10-24 00:56:17.61,-0.038465
2017-10-24 00:56:34.54,-0.03678
2017-10-24 00:56:51.46,-0.03506
2017-10-24 00:57:08.39,-0.032945
2017-10-24 00:57:25.32,-0.031805
