Date/Time (UTC), Reading
2017-08-16 09:34:28.42,18.03366667
2017-08-16 09:34:30.67,18.04266667
2017-08-16 09:34:32.91,18.04883333
2017-08-16 09:34:35.16,18.07066667
2017-08-16 09:34:37.41,18.06266667
2017-08-16 09:34:39.65,18.0585
2017-08-16 09:34:41.90,18.05683333
2017-08-16 09:34:44.14,18.06366667
2017-08-16 09:34:46.39,18.05616667
2017-08-16 09:34:48.64,18.04633333
2017-08-16 09:34:50.88,18.05066667
2017-08-16 09:34:53.12,18.0685
2017-08-16 09:34:55.37,18.06566667
2017-08-16 09:34:57.61,18.05166667
2017-08-16 09:34:59.86,18.05916667
2017-08-16 09:35:02.11,18.06266667
2017-08-16 09:35:04.35,18.07333333
2017-08-16 09:35:06.60,18.0675
2017-08-16 09:35:08.84,18.07433333
2017-08-16 09:35:11.09,18.08866667
2017-08-16 09:35:13.34,18.09083333
2017-08-16 09:35:15.58,18.0975
2017-08-16 09:35:17.83,18.10116667
2017-08-16 09:35:20.07,18.09466667
2017-08-16 09:35:22.32,18.099
2017-08-16 09:35:24.57,18.093
2017-08-16 09:35:26.81,18.09483333
2017-08-16 09:35:29.06,18.09216667
2017-08-16 09:35:31.30,18.08233333
2017-08-16 09:35:33.55,18.05783333
2017-08-16 09:35:35.79,18.016
2017-08-16 09:35:38.04,17.90366667
2017-08-16 09:35:40.28,17.7475
2017-08-16 09:35:42.53,17.586
2017-08-16 09:35:44.78,17.44083333
2017-08-16 09:35:47.02,17.31316667
2017-08-16 09:35:49.27,17.20383333
2017-08-16 09:35:51.51,17.17266667
2017-08-16 09:35:53.76,17.18616667
2017-08-16 09:35:56.01,17.19816667
2017-08-16 09:35:58.25,17.19416667
2017-08-16 09:36:00.50,17.20666667
2017-08-16 09:36:02.74,17.21366667
2017-08-16 09:36:04.99,17.2115
2017-08-16 09:36:07.23,17.214
2017-08-16 09:36:09.48,17.21433333
2017-08-16 09:36:11.73,17.22516667
2017-08-16 09:36:13.97,17.2155
2017-08-16 09:36:16.22,17.320
2017-08-16 09:36:18.46,17.53883333
2017-08-16 09:36:20.71,17.73766667
2017-08-16 09:36:22.96,17.92733333
2017-08-16 09:36:25.20,18.10416667
2017-08-16 09:36:27.45,18.2785
2017-08-16 09:36:29.70,18.34633333
2017-08-16 09:36:31.94,18.3075
2017-08-16 09:36:34.19,18.27366667
2017-08-16 09:36:36.43,18.25983333
2017-08-16 09:36:38.68,18.25366667
2017-08-16 09:36:40.92,18.269
2017-08-16 09:36:43.17,18.2715
2017-08-16 09:36:45.42,18.27716667
2017-08-16 09:36:47.66,18.28816667
2017-08-16 09:36:49.91,18.29333333
2017-08-16 09:36:52.16,18.29983333
2017-08-16 09:36:54.40,18.30716667
2017-08-16 09:36:56.65,18.31316667
2017-08-16 09:36:58.90,18.31683333
2017-08-16 09:37:01.14,18.31033333
2017-08-16 09:37:03.39,18.313
2017-08-16 09:37:05.63,18.31516667
2017-08-16 09:37:07.88,18.3195
