Date/Time (UTC), Ultra-smoothed Differences
2017-08-20 07:18:06.28,-0.47669
2017-08-20 07:18:22.96,-0.52238
2017-08-20 07:18:39.64,-0.59025
2017-08-20 07:18:56.32,-0.64381
2017-08-20 07:19:13.00,-0.69188
2017-08-20 07:19:29.66,-0.71612
2017-08-20 07:19:46.34,-0.74934
2017-08-20 07:20:03.02,-0.78538
2017-08-20 07:20:19.70,-0.8085
2017-08-20 07:20:36.38,-0.82359
2017-08-20 07:20:53.05,-0.83175
2017-08-20 07:21:09.73,-0.82541
2017-08-20 07:21:26.41,-0.82706
2017-08-20 07:21:43.09,-0.83866
2017-08-20 07:21:59.77,-0.83975
2017-08-20 07:22:16.43,-0.84844
2017-08-20 07:22:33.11,-0.87262
2017-08-20 07:22:49.79,-0.88234
2017-08-20 07:23:06.47,-0.89697
2017-08-20 07:23:23.15,-0.93019
2017-08-20 07:23:39.83,-0.94497
2017-08-20 07:23:56.51,-0.94253
2017-08-20 07:24:13.18,-0.98744
2017-08-20 07:24:29.86,-0.99503
2017-08-20 07:24:46.54,-1.0092
2017-08-20 07:25:03.22,-1.0621
2017-08-20 07:25:19.90,-1.0599
2017-08-20 07:25:36.58,-1.0597
2017-08-20 07:25:53.24,-1.0728
2017-08-20 07:26:09.92,-1.0601
2017-08-20 07:26:26.61,-1.0344
2017-08-20 07:26:43.29,-1.0179
2017-08-20 07:26:59.97,-1.0090
2017-08-20 07:27:16.65,-0.96797
2017-08-20 07:27:33.33,-0.90753
2017-08-20 07:27:49.99,-0.87203
2017-08-20 07:28:06.67,-0.83822
2017-08-20 07:28:23.35,-0.810
2017-08-20 07:28:40.03,-0.78191
2017-08-20 07:28:56.71,-0.75519
2017-08-20 07:29:13.39,-0.73419
2017-08-20 07:29:30.06,-0.71988
2017-08-20 07:29:46.74,-0.71825
2017-08-20 07:30:03.42,-0.72088
2017-08-20 07:30:20.10,-0.72325
2017-08-20 07:30:36.78,-0.71394
2017-08-20 07:30:53.44,-0.70431
2017-08-20 07:31:10.12,-0.68616
2017-08-20 07:31:26.80,-0.66731
2017-08-20 07:31:43.48,-0.65547
2017-08-20 07:32:00.16,-0.65988
2017-08-20 07:32:16.83,-0.64338
2017-08-20 07:32:33.51,-0.63538
2017-08-20 07:32:50.19,-0.64994
2017-08-20 07:33:06.87,-0.62675
2017-08-20 07:33:23.55,-0.632
2017-08-20 07:33:40.23,-0.63034
2017-08-20 07:33:56.89,-0.61434
2017-08-20 07:34:13.57,-0.6305
2017-08-20 07:34:30.25,-0.64572
2017-08-20 07:34:46.93,-0.65028
2017-08-20 07:35:03.61,-0.67612
2017-08-20 07:35:20.28,-0.71097
2017-08-20 07:35:36.96,-0.73753
2017-08-20 07:35:53.64,-0.74581
2017-08-20 07:36:10.32,-0.78069
2017-08-20 07:36:27.00,-0.82912
2017-08-20 07:36:43.66,-0.8555
2017-08-20 07:37:00.34,-0.8765
2017-08-20 07:37:17.02,-0.90109
2017-08-20 07:37:33.70,-0.91616
2017-08-20 07:37:50.38,-0.92184
2017-08-20 07:38:07.05,-0.93512
2017-08-20 07:38:23.73,-0.9415
2017-08-20 07:38:40.41,-0.93544
2017-08-20 07:38:57.09,-0.93288
2017-08-20 07:39:13.77,-0.93678
2017-08-20 07:39:30.45,-0.94538
2017-08-20 07:39:47.11,-0.95181
2017-08-20 07:40:03.79,-0.94825
2017-08-20 07:40:20.47,-0.95062
2017-08-20 07:40:37.15,-0.96222
2017-08-20 07:40:53.83,-0.93656
2017-08-20 07:41:10.50,-0.92284
2017-08-20 07:41:27.18,-0.92159
2017-08-20 07:41:43.86,-0.89678
2017-08-20 07:42:00.54,-0.88819
2017-08-20 07:42:17.22,-0.87072
2017-08-20 07:42:33.90,-0.85647
2017-08-20 07:42:50.56,-0.83675
2017-08-20 07:43:07.24,-0.81131
2017-08-20 07:43:23.92,-0.78994
2017-08-20 07:43:40.60,-0.76806
2017-08-20 07:43:57.28,-0.72984
2017-08-20 07:44:13.97,-0.71241
2017-08-20 07:44:30.63,-0.69762
2017-08-20 07:44:47.31,-0.69959
2017-08-20 07:45:03.99,-0.69744
2017-08-20 07:45:20.67,-0.68275
2017-08-20 07:45:37.35,-0.66791
2017-08-20 07:45:54.01,-0.66131
2017-08-20 07:46:10.70,-0.64962
2017-08-20 07:46:27.37,-0.64931
2017-08-20 07:46:44.05,-0.66688
2017-08-20 07:47:00.73,-0.67675
2017-08-20 07:48:34.73,-0.68856
2017-08-20 07:49:06.51,-0.70244
2017-08-20 07:49:23.18,-0.71719
2017-08-20 07:49:39.86,-0.72216
2017-08-20 07:49:56.54,-0.73519
2017-08-20 07:50:13.22,-0.74847
2017-08-20 07:50:29.88,-0.75931
2017-08-20 07:50:46.56,-0.76909
2017-08-20 07:51:03.24,-0.76516
2017-08-20 07:51:19.92,-0.77972
2017-08-20 07:51:36.60,-0.7935
2017-08-20 07:51:53.28,-0.79716
2017-08-20 07:52:09.95,-0.79881
2017-08-20 07:52:26.63,-0.79181
2017-08-20 07:52:43.22,-0.7905
2017-08-20 07:52:59.90,-0.79022
2017-08-20 07:53:16.58,-0.78419
2017-08-20 07:53:33.26,-0.78262
2017-08-20 07:53:49.94,-0.77403
2017-08-20 07:54:06.60,-0.76103
2017-08-20 07:54:23.28,-0.74669
2017-08-20 07:54:39.96,-0.71328
2017-08-20 07:54:56.64,-0.67506
2017-08-20 07:55:13.32,-0.62362
2017-08-20 07:55:29.99,-0.56431
2017-08-20 07:55:46.67,-0.50991
2017-08-20 07:56:03.35,-0.474
2017-08-20 07:56:20.03,-0.43325
2017-08-20 07:56:36.71,-0.40412
2017-08-20 07:56:53.37,-0.36956
2017-08-20 07:57:10.05,-0.31831
2017-08-20 07:57:26.73,-0.27642
2017-08-20 07:57:43.41,-0.23646
2017-08-20 07:58:00.09,-0.20114
2017-08-20 07:58:16.78,-0.16373
2017-08-20 07:58:33.44,-0.11972
2017-08-20 07:58:50.12,-0.073047
2017-08-20 07:59:06.80,-0.041509
2017-08-20 07:59:23.48,-0.0099641
2017-08-20 07:59:40.16,0.026364
2017-08-20 07:59:56.83,0.054981
2017-08-20 08:00:13.51,0.086231
2017-08-20 08:00:30.19,0.12383
2017-08-20 08:00:46.87,0.15938
2017-08-20 08:01:03.55,0.17940
2017-08-20 08:01:20.23,0.20742
2017-08-20 08:01:36.89,0.24073
2017-08-20 08:01:53.57,0.27999
2017-08-20 08:02:10.25,0.34278
