Date/Time, Data value 1
1524387481.961038,438
1524387483.960152,424
1524387485.960266,415
1524387487.960381,410
1524387489.960495,406
1524387491.96061,404
1524387493.959724,402
1524387495.959838,401
1524387497.959953,400
1524387499.960067,399
1524387501.960181,399
1524387503.960296,398
