Date UTC, Time UTC, Reading
2015-07-29,21:41:04.5,111
2015-07-29,21:41:10.2,111
2015-07-29,21:41:15.9,111
2015-07-29,21:41:21.7,111
2015-07-29,21:41:27.4,111
2015-07-29,21:41:33.1,111
2015-07-29,21:41:38.8,111
2015-07-29,21:41:44.6,111
2015-07-29,21:41:50.3,111
2015-07-29,21:41:56.0,111
2015-07-29,21:42:01.8,111
2015-07-29,21:42:07.5,111
2015-07-29,21:42:13.2,111
2015-07-29,21:42:18.9,111
2015-07-29,21:42:24.7,111
2015-07-29,21:42:30.4,111
2015-07-29,21:42:36.2,111
2015-07-29,21:42:41.9,111
2015-07-29,21:42:47.6,111
2015-07-29,21:42:53.3,111
2015-07-29,21:42:59.1,111
2015-07-29,21:43:04.8,111
2015-07-29,21:43:10.5,111
2015-07-29,21:43:16.3,111
2015-07-29,21:43:22.0,111
2015-07-29,21:43:27.7,111
2015-07-29,21:43:33.4,111
2015-07-29,21:44:25.0,111
2015-07-29,21:44:30.7,111
2015-07-29,21:44:36.5,111
2015-07-29,21:44:42.2,111
2015-07-29,21:44:47.9,111
2015-07-29,21:44:53.6,111
2015-07-29,21:44:59.4,111
2015-07-29,21:45:05.1,111
2015-07-29,21:45:10.8,111
2015-07-29,21:45:16.6,111
2015-07-29,21:45:22.3,111
2015-07-29,21:45:28.0,111
2015-07-29,21:45:33.8,111
2015-07-29,21:45:39.5,111
2015-07-29,21:45:45.2,111
2015-07-29,21:45:51.0,111
2015-07-29,21:45:56.7,111
2015-07-29,21:46:02.4,111
2015-07-29,21:46:08.1,111
2015-07-29,21:46:13.9,111
2015-07-29,21:46:19.6,111
2015-07-29,21:46:25.3,111
2015-07-29,21:46:31.1,111
2015-07-29,21:46:36.8,111
2015-07-29,21:46:42.5,111
2015-07-29,21:46:48.2,111
2015-07-29,21:46:54.0,111
2015-07-29,21:46:59.7,111
2015-07-29,21:47:05.4,111
2015-07-29,21:47:11.2,111
2015-07-29,21:47:16.9,111
2015-07-29,21:47:22.6,111
2015-07-29,21:47:28.4,111
2015-07-29,21:47:34.1,111
