DateTime (UTC), magX, magY, magZ
2015-10-27 00:32:55.819022,60,143,-209
2015-10-27 00:33:09.957831,55,144,-237
2015-10-27 00:33:24.080639,59,143,-207
2015-10-27 00:33:38.218448,53,144,-243
2015-10-27 00:33:52.342255,54,145,-246
2015-10-27 00:34:06.480064,59,141,-209
2015-10-27 00:34:20.603872,55,144,-233
2015-10-27 00:34:34.742681,54,141,-197
2015-10-27 00:34:48.865488,54,145,-213
2015-10-27 00:35:03.004297,57,142,-230
2015-10-27 00:35:17.127105,54,144,-225
2015-10-27 00:35:31.265914,53,146,-255
2015-10-27 00:35:45.388721,58,145,-224
2015-10-27 00:35:59.527530,53,148,261
2015-10-27 00:36:13.650338,56,143,-214
2015-10-27 00:36:27.789146,50,145,-248
2015-10-27 00:36:41.926955,53,143,-221
2015-10-27 00:36:56.050763,62,143,-205
2015-10-27 00:37:10.188572,55,145,-226
2015-10-27 00:37:24.312379,56,144,-228
2015-10-27 00:37:38.451188,54,143,-241
2015-10-27 00:37:52.573996,55,143,-231
2015-10-27 00:38:06.712805,57,142,-217
2015-10-27 00:38:20.835612,56,142,-217
2015-10-27 00:38:34.974421,59,146,-224
2015-10-27 00:38:49.097229,55,144,-225
2015-10-27 00:39:03.236038,59,143,-230
2015-10-27 00:39:17.358845,52,148,-254
2015-10-27 00:39:31.497654,56,145,-233
2015-10-27 00:39:45.620462,58,145,-229
2015-10-27 00:39:59.759270,58,145,-247
2015-10-27 00:40:13.882078,56,147,-242
2015-10-27 00:40:28.020887,53,145,-250
2015-10-27 00:40:42.158696,65,141,-204
2015-10-27 00:40:56.282503,61,144,-217
2015-10-27 00:41:10.420312,56,148,-235
2015-10-27 00:41:24.544120,60,147,-231
2015-10-27 00:41:38.681929,55,145,-249
2015-10-27 00:41:52.805736,59,143,-221
2015-10-27 00:42:06.943545,56,147,-254
2015-10-27 00:42:21.067353,57,146,-245
2015-10-27 00:42:35.205161,63,145,-214
2015-10-27 00:42:49.327969,58,142,-209
2015-10-27 00:43:03.466778,56,145,-244
2015-10-27 00:43:17.589586,47,149,183
2015-10-27 00:43:31.728394,58,145,-235
2015-10-27 00:43:45.851202,61,145,-216
2015-10-27 00:43:59.990011,59,140,-223
2015-10-27 00:44:14.112819,61,146,-218
2015-10-27 00:44:28.251627,57,149,-237
2015-10-27 00:44:42.389436,57,147,-245
2015-10-27 00:44:56.513244,56,143,-248
2015-10-27 00:45:10.651052,53,148,-254
2015-10-27 00:45:24.774860,57,143,-229
2015-10-27 00:45:38.913669,57,148,-243
2015-10-27 00:45:53.036477,59,151,-234
2015-10-27 00:46:07.175285,59,147,-234
2015-10-27 00:46:21.298093,62,142,-218
