DateTime (UTC), magX, magY, magZ
2015-10-23 04:38:03.700317,-147,-139,-94
2015-10-23 04:38:17.839126,-140,-142,-83
2015-10-23 04:38:31.977935,-140,-146,-78
2015-10-23 04:38:46.100743,-133,-163,-50
2015-10-23 05:05:03.131944,-136,-155,-58
2015-10-23 05:05:38.859987,-134,-160,-54
2015-10-23 05:06:17.401192,-138,-151,-75
2015-10-23 05:06:31.523999,-140,-156,-73
2015-10-23 05:23:27.333133,-129,-158,-60
2015-10-23 05:25:16.778393,-127,-159,-49
2015-10-23 05:25:30.901201,-127,-163,-45
2015-10-23 05:26:18.012895,-132,-161,-56
2015-10-23 05:28:13.517502,-134,-157,-58
2015-10-23 05:29:05.123454,-132,-159,-59
2015-10-23 05:29:19.246261,-130,-155,-63
2015-10-23 05:29:33.385070,-124,-165,-42
2015-10-23 05:31:28.900677,-136,-145,-77
2015-10-23 05:31:43.023485,-139,-145,-84
2015-10-23 05:31:57.162294,-141,-140,-99
2015-10-23 05:32:52.535461,-137,-145,-80
2015-10-23 05:33:06.659269,-135,-142,-90
2015-10-23 05:33:20.798077,-133,-145,-66
2015-10-23 05:33:34.935886,-136,-145,-84
2015-10-23 05:34:19.967462,-134,-152,-69
2015-10-23 05:34:34.091269,-135,-151,-67
2015-10-23 05:34:48.230078,-130,-154,-66
2015-10-23 05:35:11.115387,-137,-151,-72
2015-10-23 05:35:25.239195,-134,-148,-82
2015-10-23 05:35:39.377004,-136,-150,-84
2015-10-23 05:42:38.749990,-128,-152,-69
2015-10-23 05:42:52.873798,-134,-142,-90
2015-10-23 05:43:07.012607,-136,-141,-94
2015-10-23 05:43:21.150416,-135,-143,-76
2015-10-23 05:43:35.274223,-138,-144,-84
2015-10-23 05:43:49.412032,-125,-156,-53
2015-10-23 05:44:03.535840,-135,-143,-87
2015-10-23 05:44:17.674649,-130,-146,-80
2015-10-23 05:44:31.812457,-132,-141,-88
2015-10-23 05:44:45.936265,-129,-154,-62
2015-10-23 05:45:00.074074,-131,-147,-74
2015-10-23 05:45:14.212882,-132,-151,-73
2015-10-23 05:45:42.522502,-132,-142,-82
2015-10-23 05:45:56.645309,-132,-149,-66
2015-10-23 05:46:10.784118,-135,-142,-76
2015-10-23 05:46:24.921927,-132,-145,-73
2015-10-23 05:46:39.045735,-136,-144,-85
2015-10-23 05:46:53.184543,-135,-151,-76
2015-10-23 05:47:07.308351,-132,-148,-81
2015-10-23 06:01:17.063954,69,112,-36
2015-10-23 06:01:31.187762,73,115,-14
2015-10-23 06:02:08.768912,77,117,-36
2015-10-23 06:02:22.893720,65,119,-82
2015-10-23 06:02:37.031528,62,120,-90
2015-10-23 06:02:51.154336,76,115,-43
2015-10-23 06:03:05.293145,73,117,-66
2015-10-23 06:03:19.415952,74,113,-30
2015-10-23 06:03:33.554761,80,111,-11
2015-10-23 06:03:47.677569,77,115,-39
2015-10-23 06:04:01.816378,70,114,-55
2015-10-23 06:04:15.939185,73,112,-40
2015-10-23 06:04:30.077994,70,115,-63
2015-10-23 06:04:44.216803,73,110,-31
2015-10-23 06:04:58.339611,73,115,-53
2015-10-23 06:05:12.478419,77,116,-37
2015-10-23 06:05:26.602227,79,116,-23
2015-10-23 06:05:40.740036,79,114,-24
2015-10-23 06:05:54.863844,76,113,-35
2015-10-23 06:06:09.001652,81,111,-5
2015-10-23 06:06:23.125460,77,115,-19
2015-10-23 06:06:37.263269,74,117,-31
2015-10-23 06:06:51.402077,71,117,-38
2015-10-23 06:07:05.524885,74,115,-34
2015-10-23 06:07:19.663694,72,121,-62
2015-10-23 06:07:33.786502,70,115,-29
2015-10-23 06:07:47.925310,80,110,12
2015-10-23 06:08:02.049118,72,116,-37
2015-10-23 06:08:16.186927,79,116,-13
2015-10-23 06:08:30.310735,72,116,-46
2015-10-23 06:08:44.448543,73,114,-38
2015-10-23 06:08:58.572351,77,117,-21
2015-10-23 06:09:12.711160,69,117,-40
2015-10-23 06:09:26.848968,77,117,-34
2015-10-23 06:09:40.972776,72,117,-44
2015-10-23 06:09:55.110585,76,117,-31
2015-10-23 06:10:09.234393,71,119,-70
2015-10-23 06:10:23.372201,81,114,-15
2015-10-23 06:10:37.496009,73,116,-48
2015-10-23 06:10:51.633818,72,115,-45
2015-10-23 06:11:05.757626,66,119,-61
2015-10-23 06:11:19.896434,75,115,-32
2015-10-23 06:11:34.019242,87,111,26
2015-10-23 06:11:48.158051,74,114,-27
2015-10-23 06:12:02.295859,79,115,-11
2015-10-23 06:12:16.419667,72,114,-29
2015-10-23 06:12:30.557476,74,118,-37
2015-10-23 06:12:44.681284,71,116,-43
2015-10-23 06:12:58.819092,75,111,-15
2015-10-23 06:13:12.942900,75,115,-34
2015-10-23 06:13:27.080709,81,117,-21
2015-10-23 06:13:41.204517,75,111,-38
2015-10-23 06:13:55.342325,74,115,-15
2015-10-23 06:14:09.466133,75,117,-35
2015-10-23 06:14:23.603942,83,110,-9
2015-10-23 06:14:37.742750,75,113,-39
2015-10-23 06:14:51.865558,79,109,-19
2015-10-23 06:15:06.004367,80,111,-32
2015-10-23 06:15:20.127175,72,114,-65
2015-10-23 06:15:34.265983,76,119,-45
2015-10-23 06:15:48.388791,74,118,-60
2015-10-23 06:16:02.527600,78,117,-25
2015-10-23 06:16:16.651408,75,120,-61
2015-10-23 06:16:30.790216,83,113,4
2015-10-23 06:16:44.912024,82,111,-13
2015-10-23 06:16:59.051833,78,112,-40
2015-10-23 06:17:13.192642,81,114,-29
2015-10-23 06:17:27.313449,83,106,7
2015-10-23 06:17:56.580123,84,111,-1
2015-10-23 06:18:10.718932,78,116,-24
2015-10-23 06:18:24.841740,79,115,-36
2015-10-23 06:18:38.980549,73,118,-57
2015-10-23 06:18:53.103356,84,110,2
2015-10-23 06:19:07.242165,79,110,-10
2015-10-23 06:20:03.499383,71,113,-57
2015-10-23 06:20:17.637191,72,111,-52
2015-10-23 06:20:31.759999,76,117,-36
2015-10-23 06:20:45.898808,79,116,-54
2015-10-23 06:21:00.037617,80,113,-40
2015-10-23 06:21:14.161424,77,117,-36
2015-10-23 06:21:28.299233,71,118,-75
2015-10-23 06:21:42.423041,82,114,-22
2015-10-23 06:21:56.561850,78,116,-19
2015-10-23 06:22:10.684657,80,113,-10
2015-10-23 06:22:24.822466,82,115,-30
2015-10-23 06:22:38.946274,77,116,-38
2015-10-23 06:22:53.084082,73,118,-69
2015-10-23 06:23:07.207890,76,118,-50
2015-10-23 06:23:21.258746,75,117,-27
2015-10-23 06:23:35.396555,71,119,-63
2015-10-23 06:23:49.520363,77,114,-25
2015-10-23 06:24:03.659172,72,119,-52
2015-10-23 06:24:17.781979,72,116,-57
2015-10-23 06:24:31.920788,71,118,-57
2015-10-23 06:24:46.043596,74,115,-50
2015-10-23 06:25:00.182405,72,121,-63
2015-10-23 06:25:14.305212,75,118,-58
2015-10-23 06:25:28.444021,78,116,-40
2015-10-23 06:25:42.566829,71,119,-94
2015-10-23 06:25:56.705637,64,128,-130
2015-10-23 06:26:10.828445,84,112,-12
2015-10-23 06:26:24.967254,85,114,-28
2015-10-23 06:26:39.106063,83,113,-14
2015-10-23 06:26:53.229870,86,109,-12
2015-10-23 06:27:07.367679,81,115,-31
2015-10-23 06:27:21.491487,81,110,-13
2015-10-23 06:27:35.629296,76,114,-39
2015-10-23 06:27:49.753103,82,115,-14
2015-10-23 06:28:03.891912,80,116,-47
2015-10-23 06:28:18.014720,73,118,-96
2015-10-23 06:28:32.153529,79,115,-41
2015-10-23 06:28:46.276336,85,110,-8
2015-10-23 06:29:00.415145,83,112,-37
2015-10-23 06:29:14.553954,81,114,-29
2015-10-23 06:29:28.676762,76,117,-62
2015-10-23 06:29:42.814570,85,112,-26
2015-10-23 06:29:56.938378,84,114,-12
2015-10-23 06:30:11.077187,81,115,-28
2015-10-23 06:30:25.199994,82,112,-17
2015-10-23 06:30:39.338803,82,116,-35
2015-10-23 06:30:53.461611,80,120,-54
2015-10-23 06:31:07.600420,71,126,-88
2015-10-23 06:31:21.724227,77,123,-74
2015-10-23 06:31:35.862036,72,121,-70
2015-10-23 06:31:49.984844,73,120,-52
2015-10-23 06:32:04.123653,76,119,-57
2015-10-23 06:32:18.262461,72,118,-81
2015-10-23 06:32:32.385269,75,121,-83
2015-10-23 06:32:46.524078,73,124,-101
2015-10-23 06:33:00.646886,71,122,-80
2015-10-23 06:33:14.785694,72,117,-58
2015-10-23 06:33:28.909502,69,121,-103
2015-10-23 06:33:43.047311,69,125,-111
2015-10-23 06:33:57.170118,76,119,-76
2015-10-23 06:34:11.308927,76,118,-88
2015-10-23 06:34:25.447736,70,119,-108
