Date/Time (NZ), Reading
2015-10-27 06:39:08.629121,-11.75
2015-10-27 06:39:22.751929,-13.0
2015-10-27 06:39:36.890738,-12.625
2015-10-27 06:39:51.013546,-12.875
2015-10-27 06:40:05.152354,-11.5
2015-10-27 06:40:19.291163,-12.25
2015-10-27 06:40:33.413971,-12.75
2015-10-27 06:40:47.552779,-13.0
2015-10-27 06:41:01.675587,-12.5
2015-10-27 06:41:15.814396,-12.5
2015-10-27 06:41:29.937204,-13.125
2015-10-27 06:41:44.076012,-13.75
2015-10-27 06:41:58.198820,-13.875
2015-10-27 06:42:12.337629,-13.875
2015-10-27 06:42:26.476438,-13.75
2015-10-27 06:42:40.599245,-14.375
2015-10-27 06:42:54.738054,-14.875
2015-10-27 06:43:08.860862,-14.25
2015-10-27 06:43:22.999671,-13.5
2015-10-27 06:43:37.123478,-14.0
2015-10-27 06:43:51.261287,-13.0
2015-10-27 06:44:05.384095,-13.25
2015-10-27 06:44:19.522903,-12.625
2015-10-27 06:44:33.661712,-12.125
2015-10-27 06:44:47.784520,-11.875
2015-10-27 06:45:01.923329,-12.375
2015-10-27 06:45:16.046136,-11.125
2015-10-27 06:45:30.184945,-13.5
2015-10-27 06:45:44.308753,-13.625
2015-10-27 06:45:58.446562,-14.25
2015-10-27 06:46:12.569369,-14.625
2015-10-27 06:46:26.708178,-14.875
2015-10-27 06:46:40.846987,-15.125
2015-10-27 06:46:54.970795,-15.625
2015-10-27 06:47:09.108603,-13.375
2015-10-27 06:47:23.231411,-12.625
2015-10-27 06:47:37.370220,-11.625
2015-10-27 06:47:51.494028,-10.625
2015-10-27 06:48:05.631836,-10.125
2015-10-27 06:48:19.755644,-10.5
2015-10-27 06:48:33.894453,-10.75
2015-10-27 06:48:48.017260,-11.0
2015-10-27 06:49:02.156069,-10.875
2015-10-27 06:49:16.293878,-11.25
2015-10-27 06:49:30.417686,-11.625
2015-10-27 06:49:44.556494,-12.0
2015-10-27 06:49:58.679302,-11.625
2015-10-27 06:50:12.818111,-11.625
2015-10-27 06:50:26.940919,-12.375
2015-10-27 06:50:41.079727,-12.75
2015-10-27 06:50:55.202535,-12.125
2015-10-27 06:51:09.341344,-12.125
2015-10-27 06:51:23.480152,-12.5
2015-10-27 06:51:37.602960,-11.375
2015-10-27 06:51:51.741769,-11.625
2015-10-27 06:52:05.864577,-10.875
2015-10-27 06:52:20.003385,-11.25
2015-10-27 06:52:34.127193,-12.125
2015-10-27 06:52:48.265002,-12.875
2015-10-27 06:53:02.387810,-12.25
2015-10-27 06:53:16.526618,-13.625
2015-10-27 06:53:30.650426,-14.125
2015-10-27 06:53:44.788235,-15.0
2015-10-27 06:53:58.927043,-16.375
2015-10-27 06:54:13.049851,-15.75
2015-10-27 06:54:27.188660,-15.625
2015-10-27 06:54:41.311468,-17.375
2015-10-27 06:54:55.450276,-17.625
2015-10-27 06:55:09.573084,-17.5
2015-10-27 06:55:23.711893,-17.125
2015-10-27 06:55:37.834701,-16.0
2015-10-27 06:55:51.973509,-17.125
2015-10-27 06:56:06.112318,-17.625
2015-10-27 06:56:20.235126,-17.0
2015-10-27 06:56:34.373935,-17.5
2015-10-27 06:56:48.496742,-16.5
2015-10-27 06:57:02.635551,-17.125
2015-10-27 06:57:16.758359,-17.375
2015-10-27 06:57:30.897167,-17.0
2015-10-27 06:57:45.019975,-17.0
2015-10-27 06:57:59.158784,-16.375
2015-10-27 06:58:13.297593,-16.0
2015-10-27 06:58:27.420400,-16.25
2015-10-27 06:58:41.559209,-16.5
2015-10-27 06:58:55.682017,-17.5
2015-10-27 06:59:09.820826,-18.0
2015-10-27 06:59:23.943633,-19.125
2015-10-27 06:59:38.082442,-19.75
2015-10-27 06:59:52.205250,-19.125
2015-10-27 07:00:06.344059,-19.75
2015-10-27 07:00:20.466866,-19.75
2015-10-27 07:00:34.605675,-19.0
2015-10-27 07:00:48.744484,-18.625
2015-10-27 07:01:02.867291,-17.875
2015-10-27 07:01:17.006100,-18.25
2015-10-27 07:01:31.129908,-19.25
2015-10-27 07:01:45.267717,-19.375
2015-10-27 07:01:59.391524,-19.25
2015-10-27 07:02:13.529333,-20.0
2015-10-27 07:02:27.653141,-20.875
2015-10-27 07:02:41.790950,-21.25
2015-10-27 07:02:55.929758,-21.5
2015-10-27 07:03:10.053566,-21.875
2015-10-27 07:03:24.192375,-22.625
2015-10-27 07:03:38.314183,-23.5
2015-10-27 07:03:52.453991,-23.75
