1522454703.888992,0.104963,424.415,10.3896
1522456525.859731,0.106282,444.416,9.71855
1522456554.256355,0.106282,444.668,9.71786
1522456590.209412,0.106282,445.069,9.71564
1522456642.755417,0.106282,445.941,9.71214
1522456685.46486,0.106282,446.367,9.706
1522456833.0343,0.106282,447.656,9.70127
1522457530.637201,0.105323,455.82,9.48818
1522458250.785862,0.105863,458.596,9.07473
1522458296.817495,0.105863,458.466,9.06089
1522622441.574669,0.163050,454.146,6.77
1522623071.544701,0.159573,453.729,6.66891
1522623108.098792,0.159573,453.729,6.66891
1522623313.403534,0.159573,453.751,6.63382
1522623463.177101,0.159573,453.702,6.60411
1522623591.159421,0.159573,453.720,6.59607
1522623798.23523,0.164549,453.722,6.57545
1522625401.934956,0.161192,451.931,6.39636
1522625434.665828,0.161192,451.931,6.39636
1522633980.291295,0.162570,439.978,5.48545
1522634039.455679,0.162570,439.978,5.48545
1522634060.10686,0.162570,439.864,5.48054
1522634075.445737,0.162570,439.864,5.48054
