Date/Time (UTC), Ultra-smoothed Differences
2015-12-20 04:35:35.288847,0.252
2015-12-20 04:35:51.421770,0.236
2015-12-20 04:36:07.555693,0.212
2015-12-20 04:36:23.688615,0.193
2015-12-20 04:36:39.822538,0.167
2015-12-20 04:36:55.956461,0.146
2015-12-20 04:37:12.089384,0.127
2015-12-20 04:37:28.223307,0.107
2015-12-20 04:37:44.357229,0.088
2015-12-20 04:38:00.490152,0.0675
2015-12-20 04:38:16.624075,0.0502
2015-12-20 04:38:32.741997,0.0378
2015-12-20 04:38:48.875920,0.0235
2015-12-20 04:39:05.009842,0.0124
2015-12-20 04:39:21.142765,0.00438
2015-12-20 04:39:37.276688,-0.00425
2015-12-20 04:39:53.410611,-0.00875
2015-12-20 04:40:09.544534,-0.012
2015-12-20 04:40:25.677456,-0.0154
2015-12-20 04:40:41.810379,-0.0164
2015-12-20 04:40:57.944302,-0.0161
2015-12-20 04:41:14.078225,-0.0176
2015-12-20 04:41:30.211147,-0.0188
2015-12-20 04:41:46.345070,-0.0164
2015-12-20 04:42:02.478993,-0.0112
2015-12-20 04:42:18.611916,-0.00625
2015-12-20 04:42:34.730838,-0.00288
2015-12-20 04:42:50.863761,0.00288
2015-12-20 04:43:06.997683,0.0164
2015-12-20 04:43:23.131606,0.0305
2015-12-20 04:43:39.265529,0.0468
2015-12-20 04:43:55.398452,0.065
2015-12-20 04:44:11.532374,0.0862
2015-12-20 04:44:27.666297,0.111
2015-12-20 04:44:43.799220,0.129
2015-12-20 04:44:59.933143,0.154
2015-12-20 04:45:16.067066,0.178
2015-12-20 04:45:32.199988,0.212
2015-12-20 04:45:48.333911,0.234
2015-12-20 04:46:04.467834,0.252
2015-12-20 04:46:20.600757,0.28
2015-12-20 04:46:36.718679,0.302
2015-12-20 04:46:52.852601,0.33
2015-12-20 04:47:08.986524,0.348
2015-12-20 04:47:25.119447,0.365
2015-12-20 04:47:41.252370,0.38
2015-12-20 04:47:57.386293,0.39
2015-12-20 04:48:13.520215,0.4
2015-12-20 04:48:29.653138,0.418
2015-12-20 04:48:45.787061,0.43
2015-12-20 04:49:01.920984,0.442
2015-12-20 04:49:18.053907,0.445
2015-12-20 04:49:34.187829,0.448
2015-12-20 04:49:50.321752,0.45
2015-12-20 04:50:06.455675,0.44
2015-12-20 04:50:22.574597,0.435
2015-12-20 04:50:38.707520,0.425
2015-12-20 04:50:54.840442,0.415
2015-12-20 04:51:10.974365,0.402
2015-12-20 04:51:27.108288,0.385
2015-12-20 04:51:43.241211,0.368
2015-12-20 04:51:59.375134,0.35
2015-12-20 04:52:15.509056,0.328
2015-12-20 04:52:31.642979,0.305
2015-12-20 04:52:47.776902,0.275
2015-12-20 04:53:03.909825,0.247
2015-12-20 04:53:20.043748,0.212
2015-12-20 04:53:36.176670,0.176
2015-12-20 04:53:52.295592,0.131
2015-12-20 04:54:08.428515,0.075
2015-12-20 04:54:24.562438,0.026
2015-12-20 04:54:40.696361,-0.0315
2015-12-20 04:54:56.830283,-0.0945
2015-12-20 04:55:12.963206,-0.156
2015-12-20 04:55:29.097129,-0.207
2015-12-20 04:55:45.231052,-0.268
